218	16273	16273	7591.13	0.466486	0.466486
219	2449	2449	531.354	0.216968	0.216968
220	23462	23462	5709.33	0.243344	0.243344
223	14216	14216	26573.5	1.86927	1.86927
224	23753	23753	6032.68	0.253976	0.253976
225	9559	9559	7123.16	0.745178	0.745178
228	13522	13522	30557.1	2.25981	2.25981
234	29141	29141	11889.4	0.407996	0.407996
239	13607	13607	9033.95	0.663919	0.663919
246	10376	10376	3913.76	0.377193	0.377193
247	2616	2616	853.135	0.326122	0.326122
248	12909	12909	3004.64	0.232755	0.232755
250	24443	24443	6703.94	0.274268	0.274268
253	46075	46075	68555.9	1.48792	1.48792
254	5564	5564	25973.3	4.6681	4.6681
255	8115	8115	3157.16	0.389052	0.389052
257	38673	38673	92373.1	2.38857	2.38857
259	21681	21681	11731.9	0.541115	0.541115
263	3346	3346	26777.8	8.00293	8.00293
264	37127	37127	108788	2.93016	2.93016
267	8859	8859	3096.71	0.349555	0.349555
268	12233	12233	2750.52	0.224844	0.224844
274	17156	17156	17217.2	1.00357	1.00357
283	17049	17049	7708.05	0.452112	0.452112
291	11231	11231	78397.5	6.98045	6.98045
297	12095	12095	36882.1	3.04937	3.04937
298	6746	6746	53611	7.94708	7.94708
301	18181	18181	2626.09	0.144441	0.144441
311	24281	24281	24692.4	1.01694	1.01694
320	20440	20440	174436	8.53405	8.53405
338	9510	9510	36728.3	3.86207	3.86207
342	9794	9794	7092.89	0.724208	0.724208
356	28191	28191	9794.29	0.347426	0.347426
361	10767	10767	2607.72	0.242196	0.242196
383	17561	17561	36213	2.06212	2.06212
390	3641	3641	4869.33	1.33736	1.33736
395	10429	10429	25520.4	2.44706	2.44706
418	4805	4805	15891.7	3.30733	3.30733
425	16040	16040	43238.7	2.69568	2.69568
428	2884	2884	1038.77	0.360185	0.360185
430	30180	30180	7637.5	0.253065	0.253065
432	6279	6279	2262.79	0.360374	0.360374
437	7456	7456	16529.6	2.21695	2.21695
438	37463	37463	175751	4.69133	4.69133
441	11387	11387	48204.8	4.23332	4.23332
448	8989	8989	2279.03	0.253535	0.253535
453	13731	13731	2251.09	0.163942	0.163942
487	17157	17157	5092.88	0.29684	0.29684
495	3547	3547	565.88	0.159538	0.159538
548	12892	12892	4336.72	0.336388	0.336388
566	10425	10425	3412.22	0.327311	0.327311
570	8248	8248	5898.95	0.715198	0.715198
572	13718	13718	17442.5	1.27151	1.27151
580	11563	11563	7595.06	0.656841	0.656841
582	8913	8913	13451.9	1.50924	1.50924
583	47282	47282	45158	0.955077	0.955077
588	5280	5280	959.755	0.181772	0.181772
592	1776	1776	1711.72	0.963804	0.963804
597	14896	14896	23150.5	1.55414	1.55414
611	29507	29507	33849.4	1.14716	1.14716
615	4147	4147	37329.7	9.00161	9.00161
783	10823	10823	2512.42	0.232137	0.232137
1141	3853	3853	21251.6	5.5156	5.5156
1170	24219	24219	11279.6	0.465732	0.465732
1177	15792	15792	19965.4	1.26427	1.26427
1181	10906	10906	7956.04	0.729511	0.729511
1182	11706	11706	2972.88	0.253962	0.253962
1184	14079	14079	2247.32	0.159622	0.159622
1204	26066	26066	29828.2	1.14433	1.14433
1213	14058	14058	2963.47	0.210803	0.210803
1217	28067	28067	11113.2	0.395953	0.395953
1223	17404	17404	26379.9	1.51574	1.51574
1224	19422	19422	7186.76	0.370032	0.370032
1226	12294	12294	66226.5	5.3869	5.3869
1231	6382	6382	11929.2	1.8692	1.8692
1234	4819	4819	11393.4	2.36427	2.36427
1253	16968	16968	34555.1	2.03649	2.03649
1267	9070	9070	28775.2	3.17257	3.17257
1276	4376	4376	40320.9	9.21409	9.21409
1277	15767	15767	19290.4	1.22347	1.22347
1370	2597	2597	1196.45	0.460704	0.460704
1404	18857	18857	4786.78	0.253847	0.253847
1418	2324	2324	1176.33	0.506166	0.506166
1481	4710	4710	54360.6	11.5415	11.5415
1485	8096	8096	23076.4	2.85034	2.85034
1490	8670	8670	6053.42	0.698204	0.698204
1495	8267	8267	3577.18	0.432706	0.432706
1520	5428	5428	42991.2	7.92026	7.92026
1523	27975	27975	121545	4.34478	4.34478
